"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","53","POST - Create Post","JSONPlaceholder CRUD","Sun Mar 09 00:43:33 GMT 2025","passed","Sun Mar 09 00:43:34 GMT 2025","","","",""
"","40","GET  -Get post id","JSONPlaceholder CRUD","Sun Mar 09 00:43:34 GMT 2025","passed","Sun Mar 09 00:43:34 GMT 2025","","","",""
"","142","GET - List All Posts","JSONPlaceholder CRUD","Sun Mar 09 00:43:33 GMT 2025","passed","Sun Mar 09 00:43:33 GMT 2025","","","",""
"","51","GET  -Delete User Id","JSONPlaceholder CRUD","Sun Mar 09 00:43:34 GMT 2025","passed","Sun Mar 09 00:43:34 GMT 2025","","","",""
