"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44","GET  -Get post id","JSONPlaceholder CRUD","Mon Jan 20 06:47:34 GMT 2025","passed","Mon Jan 20 06:47:34 GMT 2025","","","",""
"","59","POST - Create Post","JSONPlaceholder CRUD","Mon Jan 20 06:47:34 GMT 2025","passed","Mon Jan 20 06:47:34 GMT 2025","","","",""
"","191","GET - List All Posts","JSONPlaceholder CRUD","Mon Jan 20 06:47:34 GMT 2025","passed","Mon Jan 20 06:47:34 GMT 2025","","","",""
"","39","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Jan 20 06:47:34 GMT 2025","passed","Mon Jan 20 06:47:34 GMT 2025","","","",""
