"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","GET - List All Posts","JSONPlaceholder CRUD","Fri Mar 21 00:52:28 GMT 2025","passed","Fri Mar 21 00:52:28 GMT 2025","","","",""
"","67","POST - Create Post","JSONPlaceholder CRUD","Fri Mar 21 00:52:28 GMT 2025","passed","Fri Mar 21 00:52:28 GMT 2025","","","",""
"","47","GET  -Get post id","JSONPlaceholder CRUD","Fri Mar 21 00:52:28 GMT 2025","passed","Fri Mar 21 00:52:28 GMT 2025","","","",""
"","59","GET  -Delete User Id","JSONPlaceholder CRUD","Fri Mar 21 00:52:28 GMT 2025","passed","Fri Mar 21 00:52:28 GMT 2025","","","",""
