"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","65","POST - Create Post","JSONPlaceholder CRUD","Tue Jan 28 00:46:54 GMT 2025","passed","Tue Jan 28 00:46:54 GMT 2025","","","",""
"","42","GET  -Delete User Id","JSONPlaceholder CRUD","Tue Jan 28 00:46:54 GMT 2025","passed","Tue Jan 28 00:46:54 GMT 2025","","","",""
"","51","GET  -Get post id","JSONPlaceholder CRUD","Tue Jan 28 00:46:54 GMT 2025","passed","Tue Jan 28 00:46:54 GMT 2025","","","",""
"","217","GET - List All Posts","JSONPlaceholder CRUD","Tue Jan 28 00:46:53 GMT 2025","passed","Tue Jan 28 00:46:54 GMT 2025","","","",""
