"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","126","POST - Create Post","JSONPlaceholder CRUD","Sun Mar 02 00:53:23 GMT 2025","passed","Sun Mar 02 00:53:23 GMT 2025","","","",""
"","39","GET  -Get post id","JSONPlaceholder CRUD","Sun Mar 02 00:53:23 GMT 2025","passed","Sun Mar 02 00:53:23 GMT 2025","","","",""
"","61","GET  -Delete User Id","JSONPlaceholder CRUD","Sun Mar 02 00:53:23 GMT 2025","passed","Sun Mar 02 00:53:23 GMT 2025","","","",""
"","180","GET - List All Posts","JSONPlaceholder CRUD","Sun Mar 02 00:53:23 GMT 2025","passed","Sun Mar 02 00:53:23 GMT 2025","","","",""
