"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","172","GET - List All Posts","JSONPlaceholder CRUD","Thu Feb 20 00:48:42 GMT 2025","passed","Thu Feb 20 00:48:42 GMT 2025","","","",""
"","55","GET  -Delete User Id","JSONPlaceholder CRUD","Thu Feb 20 00:48:42 GMT 2025","passed","Thu Feb 20 00:48:42 GMT 2025","","","",""
"","39","GET  -Get post id","JSONPlaceholder CRUD","Thu Feb 20 00:48:42 GMT 2025","passed","Thu Feb 20 00:48:42 GMT 2025","","","",""
"","112","POST - Create Post","JSONPlaceholder CRUD","Thu Feb 20 00:48:42 GMT 2025","passed","Thu Feb 20 00:48:42 GMT 2025","","","",""
