"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","223","GET - List All Posts","JSONPlaceholder CRUD","Sun Mar 16 00:55:19 GMT 2025","passed","Sun Mar 16 00:55:19 GMT 2025","","","",""
"","51","GET  -Delete User Id","JSONPlaceholder CRUD","Sun Mar 16 00:55:19 GMT 2025","passed","Sun Mar 16 00:55:19 GMT 2025","","","",""
"","67","POST - Create Post","JSONPlaceholder CRUD","Sun Mar 16 00:55:19 GMT 2025","passed","Sun Mar 16 00:55:19 GMT 2025","","","",""
"","48","GET  -Get post id","JSONPlaceholder CRUD","Sun Mar 16 00:55:19 GMT 2025","passed","Sun Mar 16 00:55:19 GMT 2025","","","",""
