"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Jan 20 12:36:43 GMT 2025","passed","Mon Jan 20 12:36:43 GMT 2025","","","",""
"","45","GET  -Get post id","JSONPlaceholder CRUD","Mon Jan 20 12:36:43 GMT 2025","passed","Mon Jan 20 12:36:43 GMT 2025","","","",""
"","218","GET - List All Posts","JSONPlaceholder CRUD","Mon Jan 20 12:36:42 GMT 2025","passed","Mon Jan 20 12:36:43 GMT 2025","","","",""
"","268","POST - Create Post","JSONPlaceholder CRUD","Mon Jan 20 12:36:43 GMT 2025","passed","Mon Jan 20 12:36:43 GMT 2025","","","",""
