"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","GET  -Delete User Id","JSONPlaceholder CRUD","Thu Feb 27 00:49:58 GMT 2025","passed","Thu Feb 27 00:49:58 GMT 2025","","","",""
"","227","GET - List All Posts","JSONPlaceholder CRUD","Thu Feb 27 00:49:57 GMT 2025","passed","Thu Feb 27 00:49:57 GMT 2025","","","",""
"","61","POST - Create Post","JSONPlaceholder CRUD","Thu Feb 27 00:49:57 GMT 2025","passed","Thu Feb 27 00:49:58 GMT 2025","","","",""
"","43","GET  -Get post id","JSONPlaceholder CRUD","Thu Feb 27 00:49:58 GMT 2025","passed","Thu Feb 27 00:49:58 GMT 2025","","","",""
