"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","220","GET  -Delete User Id","JSONPlaceholder CRUD","Thu Mar 20 00:51:09 GMT 2025","passed","Thu Mar 20 00:51:09 GMT 2025","","","",""
"","247","POST - Create Post","JSONPlaceholder CRUD","Thu Mar 20 00:51:09 GMT 2025","passed","Thu Mar 20 00:51:09 GMT 2025","","","",""
"","152","GET - List All Posts","JSONPlaceholder CRUD","Thu Mar 20 00:51:08 GMT 2025","passed","Thu Mar 20 00:51:09 GMT 2025","","","",""
"","45","GET  -Get post id","JSONPlaceholder CRUD","Thu Mar 20 00:51:09 GMT 2025","passed","Thu Mar 20 00:51:09 GMT 2025","","","",""
