"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","GET  -Delete User Id","JSONPlaceholder CRUD","Sat Feb 01 00:50:59 GMT 2025","passed","Sat Feb 01 00:50:59 GMT 2025","","","",""
"","34","GET  -Get post id","JSONPlaceholder CRUD","Sat Feb 01 00:50:59 GMT 2025","passed","Sat Feb 01 00:50:59 GMT 2025","","","",""
"","169","GET - List All Posts","JSONPlaceholder CRUD","Sat Feb 01 00:50:59 GMT 2025","passed","Sat Feb 01 00:50:59 GMT 2025","","","",""
"","123","POST - Create Post","JSONPlaceholder CRUD","Sat Feb 01 00:50:59 GMT 2025","passed","Sat Feb 01 00:50:59 GMT 2025","","","",""
