"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","GET - List All Posts","JSONPlaceholder CRUD","Thu Jan 30 00:45:44 GMT 2025","passed","Thu Jan 30 00:45:45 GMT 2025","","","",""
"","58","GET  -Get post id","JSONPlaceholder CRUD","Thu Jan 30 00:45:45 GMT 2025","passed","Thu Jan 30 00:45:45 GMT 2025","","","",""
"","118","GET  -Delete User Id","JSONPlaceholder CRUD","Thu Jan 30 00:45:45 GMT 2025","passed","Thu Jan 30 00:45:45 GMT 2025","","","",""
"","134","POST - Create Post","JSONPlaceholder CRUD","Thu Jan 30 00:45:45 GMT 2025","passed","Thu Jan 30 00:45:45 GMT 2025","","","",""
