"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","107","GET  -Delete User Id","JSONPlaceholder CRUD","Wed Jan 29 00:46:53 GMT 2025","passed","Wed Jan 29 00:46:53 GMT 2025","","","",""
"","45","GET  -Get post id","JSONPlaceholder CRUD","Wed Jan 29 00:46:53 GMT 2025","passed","Wed Jan 29 00:46:53 GMT 2025","","","",""
"","339","POST - Create Post","JSONPlaceholder CRUD","Wed Jan 29 00:46:52 GMT 2025","passed","Wed Jan 29 00:46:53 GMT 2025","","","",""
"","137","GET - List All Posts","JSONPlaceholder CRUD","Wed Jan 29 00:46:52 GMT 2025","passed","Wed Jan 29 00:46:52 GMT 2025","","","",""
