"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","GET - List All Posts","JSONPlaceholder CRUD","Mon Feb 10 00:49:31 GMT 2025","passed","Mon Feb 10 00:49:31 GMT 2025","","","",""
"","60","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Feb 10 00:49:31 GMT 2025","passed","Mon Feb 10 00:49:31 GMT 2025","","","",""
"","34","GET  -Get post id","JSONPlaceholder CRUD","Mon Feb 10 00:49:31 GMT 2025","passed","Mon Feb 10 00:49:31 GMT 2025","","","",""
"","125","POST - Create Post","JSONPlaceholder CRUD","Mon Feb 10 00:49:31 GMT 2025","passed","Mon Feb 10 00:49:31 GMT 2025","","","",""
