"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","GET  -Get post id","JSONPlaceholder CRUD","Sat Feb 15 00:47:03 GMT 2025","passed","Sat Feb 15 00:47:03 GMT 2025","","","",""
"","55","GET  -Delete User Id","JSONPlaceholder CRUD","Sat Feb 15 00:47:03 GMT 2025","passed","Sat Feb 15 00:47:03 GMT 2025","","","",""
"","129","GET - List All Posts","JSONPlaceholder CRUD","Sat Feb 15 00:47:02 GMT 2025","passed","Sat Feb 15 00:47:03 GMT 2025","","","",""
"","113","POST - Create Post","JSONPlaceholder CRUD","Sat Feb 15 00:47:03 GMT 2025","passed","Sat Feb 15 00:47:03 GMT 2025","","","",""
