"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","135","GET - List All Posts","JSONPlaceholder CRUD","Mon Mar 10 00:42:09 GMT 2025","passed","Mon Mar 10 00:42:09 GMT 2025","","","",""
"","54","POST - Create Post","JSONPlaceholder CRUD","Mon Mar 10 00:42:09 GMT 2025","passed","Mon Mar 10 00:42:09 GMT 2025","","","",""
"","40","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Mar 10 00:42:09 GMT 2025","passed","Mon Mar 10 00:42:09 GMT 2025","","","",""
"","36","GET  -Get post id","JSONPlaceholder CRUD","Mon Mar 10 00:42:09 GMT 2025","passed","Mon Mar 10 00:42:09 GMT 2025","","","",""
