"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","275","POST - Create Post","JSONPlaceholder CRUD","Wed Feb 05 00:47:39 GMT 2025","passed","Wed Feb 05 00:47:40 GMT 2025","","","",""
"","190","GET - List All Posts","JSONPlaceholder CRUD","Wed Feb 05 00:47:39 GMT 2025","passed","Wed Feb 05 00:47:39 GMT 2025","","","",""
"","65","GET  -Get post id","JSONPlaceholder CRUD","Wed Feb 05 00:47:40 GMT 2025","passed","Wed Feb 05 00:47:40 GMT 2025","","","",""
"","113","GET  -Delete User Id","JSONPlaceholder CRUD","Wed Feb 05 00:47:40 GMT 2025","passed","Wed Feb 05 00:47:40 GMT 2025","","","",""
