"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","POST - Create Post","JSONPlaceholder CRUD","Wed Feb 12 00:48:05 GMT 2025","passed","Wed Feb 12 00:48:05 GMT 2025","","","",""
"","46","GET  -Delete User Id","JSONPlaceholder CRUD","Wed Feb 12 00:48:05 GMT 2025","passed","Wed Feb 12 00:48:05 GMT 2025","","","",""
"","229","GET - List All Posts","JSONPlaceholder CRUD","Wed Feb 12 00:48:04 GMT 2025","passed","Wed Feb 12 00:48:05 GMT 2025","","","",""
"","47","GET  -Get post id","JSONPlaceholder CRUD","Wed Feb 12 00:48:05 GMT 2025","passed","Wed Feb 12 00:48:05 GMT 2025","","","",""
