"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","52","GET  -Get post id","JSONPlaceholder CRUD","Mon Mar 17 00:53:24 GMT 2025","passed","Mon Mar 17 00:53:24 GMT 2025","","","",""
"","128","POST - Create Post","JSONPlaceholder CRUD","Mon Mar 17 00:53:24 GMT 2025","passed","Mon Mar 17 00:53:24 GMT 2025","","","",""
"","115","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Mar 17 00:53:24 GMT 2025","passed","Mon Mar 17 00:53:25 GMT 2025","","","",""
"","183","GET - List All Posts","JSONPlaceholder CRUD","Mon Mar 17 00:53:24 GMT 2025","passed","Mon Mar 17 00:53:24 GMT 2025","","","",""
