"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Mar 03 00:52:11 GMT 2025","passed","Mon Mar 03 00:52:11 GMT 2025","","","",""
"","146","GET - List All Posts","JSONPlaceholder CRUD","Mon Mar 03 00:52:11 GMT 2025","passed","Mon Mar 03 00:52:11 GMT 2025","","","",""
"","37","GET  -Get post id","JSONPlaceholder CRUD","Mon Mar 03 00:52:11 GMT 2025","passed","Mon Mar 03 00:52:11 GMT 2025","","","",""
"","60","POST - Create Post","JSONPlaceholder CRUD","Mon Mar 03 00:52:11 GMT 2025","passed","Mon Mar 03 00:52:11 GMT 2025","","","",""
