"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","63","POST - Create Post","JSONPlaceholder CRUD","Mon Jan 20 11:58:52 GMT 2025","passed","Mon Jan 20 11:58:52 GMT 2025","","","",""
"","46","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Jan 20 11:58:52 GMT 2025","passed","Mon Jan 20 11:58:52 GMT 2025","","","",""
"","41","GET  -Get post id","JSONPlaceholder CRUD","Mon Jan 20 11:58:52 GMT 2025","passed","Mon Jan 20 11:58:52 GMT 2025","","","",""
"","159","GET - List All Posts","JSONPlaceholder CRUD","Mon Jan 20 11:58:52 GMT 2025","passed","Mon Jan 20 11:58:52 GMT 2025","","","",""
