"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","GET  -Get post id","JSONPlaceholder CRUD","Mon Feb 17 00:51:12 GMT 2025","passed","Mon Feb 17 00:51:13 GMT 2025","","","",""
"","110","GET  -Delete User Id","JSONPlaceholder CRUD","Mon Feb 17 00:51:13 GMT 2025","passed","Mon Feb 17 00:51:13 GMT 2025","","","",""
"","270","POST - Create Post","JSONPlaceholder CRUD","Mon Feb 17 00:51:12 GMT 2025","passed","Mon Feb 17 00:51:12 GMT 2025","","","",""
"","129","GET - List All Posts","JSONPlaceholder CRUD","Mon Feb 17 00:51:12 GMT 2025","passed","Mon Feb 17 00:51:12 GMT 2025","","","",""
