"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","GET  -Get post id","JSONPlaceholder CRUD","Sun Mar 23 00:55:42 GMT 2025","passed","Sun Mar 23 00:55:42 GMT 2025","","","",""
"","147","GET - List All Posts","JSONPlaceholder CRUD","Sun Mar 23 00:55:42 GMT 2025","passed","Sun Mar 23 00:55:42 GMT 2025","","","",""
"","45","GET  -Delete User Id","JSONPlaceholder CRUD","Sun Mar 23 00:55:42 GMT 2025","passed","Sun Mar 23 00:55:42 GMT 2025","","","",""
"","63","POST - Create Post","JSONPlaceholder CRUD","Sun Mar 23 00:55:42 GMT 2025","passed","Sun Mar 23 00:55:42 GMT 2025","","","",""
