"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","54","GET  -Get post id","JSONPlaceholder CRUD","Wed Jan 22 00:47:59 GMT 2025","passed","Wed Jan 22 00:47:59 GMT 2025","","","",""
"","140","GET - List All Posts","JSONPlaceholder CRUD","Wed Jan 22 00:47:59 GMT 2025","passed","Wed Jan 22 00:47:59 GMT 2025","","","",""
"","45","GET  -Delete User Id","JSONPlaceholder CRUD","Wed Jan 22 00:47:59 GMT 2025","passed","Wed Jan 22 00:47:59 GMT 2025","","","",""
"","71","POST - Create Post","JSONPlaceholder CRUD","Wed Jan 22 00:47:59 GMT 2025","passed","Wed Jan 22 00:47:59 GMT 2025","","","",""
